id,title,start,end,description,location
187273-events@www.truman.edu,“Cabaret”,2025-11-19T19:30:00-06:00,2025-11-19T00:00:00-06:00,,James G. Severns Theatre
186774-events@www.truman.edu,Wind Symphony II Concert,2025-11-19T19:30:00-06:00,2025-11-19T20:30:00-06:00,Please click on the title for additional information.,Ophelia Parrish Performance Hall
186607-events@www.truman.edu,Saxophone Studio Recital,2025-11-20T18:00:00-06:00,2025-11-20T19:00:00-06:00,Please click on the title for additional information.,Ophelia Parrish Performance Hall
187275-events@www.truman.edu,“Cabaret”,2025-11-20T19:30:00-06:00,2025-11-20T00:00:00-06:00,,James G. Severns Theatre
186803-events@www.truman.edu,BA/BFA Capstone Art Exhibition,2025-12-01T08:30:00-06:00,2025-12-01T17:00:00-06:00,Please click on the title for additional information.,"University Art Gallery, OP1114"
185340-events@www.truman.edu,Subs in the Hub,2025-12-01T11:00:00-06:00,2025-12-01T14:00:00-06:00,Join us for free sandwiches and chips in the SUB Hub at 11am!,SUB Hub
187431-events@www.truman.edu,Brass Studio Recital,2025-12-01T18:30:00-06:00,2025-12-01T19:30:00-06:00,Please click on the title for additional information.,OP 2350
187965-events@www.truman.edu,St. Louis Alumni Chapter at the Blues,2025-12-01T19:00:00-06:00,2025-12-01T00:00:00-06:00,,
186776-events@www.truman.edu,Concert Band Performance,2025-12-02T19:30:00-06:00,2025-12-02T20:30:00-06:00,Please click on the title for additional information.,Ophelia Parrish Performance Hall
186778-events@www.truman.edu,Wind Symphony I Concert,2025-12-03T19:30:00-06:00,2025-12-03T20:30:00-06:00,Please click on the title for additional information.,Ophelia Parrish Performance Hall
187277-events@www.truman.edu,Student Showcase,2025-12-04T19:30:00-06:00,2025-12-04T00:00:00-06:00,,Black Box Theatre
